DateTime,AddedIPs,RemovedIPs
1601761711,0,1
1601763609,1,0
1601765528,2,0
1601769367,1,1
1601773252,2,0
1601775135,1,0
1601777068,4,0
1601778997,2,0
1601780898,2,1
1601782813,1,0
1601784758,1,2
1601790517,1,0
1601794330,2,0
1601798173,0,1
1601800088,1,0
1601802059,1,0
1601805850,0,1
1601807794,3,0
1601809707,1,0
1601819314,1,1
1601823129,1,3
1601825084,1,0
1601826969,2,1
1601828888,1,3
1601834649,0,2
1601836599,3,0
1601842361,1,1
1601846175,1,0
1601850011,0,1
1601851932,0,2
1601855776,0,1
1601859671,0,2
1601861530,1,1
1601863460,0,4
1601865395,1,2
1601867297,0,2
1601869113,2,1
1601870923,0,1
1601872837,1,0
1601874789,1,0
1601876649,1,1
1601880530,1,2
1601884355,1,0
1601886294,1,1
1601888221,1,0
1601890114,1,1
1601893961,0,2
1601896097,0,2
1601898009,1,0
1601901851,1,0
1601905717,0,1
1601909531,0,1
1601911477,1,1
1601913368,0,2
1601915531,0,1
1601917455,1,0
1601919404,2,0
1601921295,1,0
1601923212,0,3
1601928970,0,1
1601932809,1,1
1601934728,2,0
1601938568,1,0
1601942651,1,0
1601944601,1,0
1601948412,0,1
1601950358,0,1
1601952252,1,0
1601956303,0,2
1601958275,0,1
1601960168,0,1
1601962086,0,1
1601967854,0,1
1601971695,2,1
1601973609,0,2
1601975560,1,0
1601977450,3,1
1601983210,4,0
1601985132,0,1
1601988968,1,1
1601990891,1,0
1601994735,1,0
1601996651,1,0
1601998598,0,1
1602000493,1,0
1602002416,2,0
1602004356,0,2
1602006249,1,2
1602010114,1,0
1602012010,1,0
1602013931,2,0
1602017768,1,0
1602019721,1,1
1602021626,1,2
1602025477,0,1
1602027374,0,1
1602037235,2,0
1602039133,1,1
1602041051,1,0
1602050653,1,0
1602052576,1,0
1602056411,1,0
1602058332,0,2
1602060276,0,1
1602064332,0,3
1602066250,1,0
1602068199,1,1
1602070088,1,3
1602072046,1,0
1602073931,1,1
1602075853,1,0
1602077794,1,1
1602079695,1,0
1602081609,0,1
1602083566,0,1
1602087395,0,1
1602089288,2,2
1602091211,1,0
1602093156,1,1
1602095050,0,1
1602096967,0,1
1602100830,2,2
1602104679,0,2
1602106573,1,1
1602108519,1,1
1602110411,2,0
1602112331,3,0
1602116169,1,0
1602118089,1,0
1602121933,2,0
1602123880,0,2
1602125776,0,1
1602127691,0,1
1602129649,1,0
1602137297,0,1
1602139213,0,1
1602141162,1,0
1602143067,2,1
1602150732,2,0
1602152680,0,1
1602154571,1,1
1602156737,0,1
1602158652,0,1
1602160601,0,1
1602162497,1,1
1602164416,1,1
1602166363,1,1
1602168256,2,0
1602170170,1,0
1602174011,2,0
1602175931,1,2
1602177880,1,2
1602184596,2,0
1602186489,0,2
1602188410,2,0
1602192253,0,1
1602196115,0,1
1602198055,0,5
1602199964,1,0
1602201853,1,0
1602205721,1,1
1602207612,0,1
1602209531,1,1
1602215530,1,0
1602217455,0,1
1602224169,3,0
1602226092,2,0
1602228034,2,2
1602229931,0,1
1602231854,1,0
1602233800,2,0
1602237633,1,2
1602241452,1,1
1602243370,1,0
1602249135,1,1
1602251085,0,2
1602252972,1,0
1602254888,0,2
1602256840,0,1
1602260654,1,2
1602262597,0,2
1602269290,0,1
1602271244,1,1
1602275050,1,2
1602282758,1,0
1602284650,1,0
1602286570,1,2
1602290409,1,0
1602292330,3,1
1602294277,2,0
1602296172,1,1
1602300038,0,1
1602301928,2,0
1602309631,0,3
1602311565,1,1
1602313452,1,2
1602315373,1,1
1602317321,2,0
1602319208,0,3
1602321134,1,0
1602323078,1,1
1602324973,2,0
1602326887,1,0
1602328836,0,2
1602332650,2,0
1602334597,1,1
1602340366,1,1
1602344171,2,0
1602348012,1,1
1602349966,1,0
1602355716,1,0
1602357608,0,1
1602359529,1,0
1602361480,1,1
1602365532,2,0
1602367452,1,0
1602369397,0,2
1602371291,1,0
1602373211,1,1
1602375159,1,0
1602377049,2,2
1602378967,0,2
1602380916,2,2
1602382812,1,1
1602386679,1,0
1602388567,1,2
1602390486,1,0
1602392579,1,0
1602398413,1,1
1602400366,0,3
1602402251,1,1
1602404167,0,1
1602406119,3,0
1602408009,1,1
1602409931,0,2
1602411876,0,2
1602413771,1,0
1602415688,1,0
1602417653,0,1
1602419534,0,1
1602421711,0,1
1602423644,1,0
1602429677,0,1
1602431562,0,1
1602433482,1,1
1602435374,0,1
1602437290,1,0
1602439265,1,0
1602441134,0,1
1602445012,0,1
1602446986,1,0
1602448863,2,1
1602450822,1,1
1602452682,2,1
1602454594,0,1
1602456553,1,0
1602458447,0,2
1602462302,1,1
1602464198,0,2
1602466144,1,0
1602468080,0,3
1602469952,1,0
1602473829,0,1
1602475734,0,2
1602479684,1,1
1602485775,0,1
1602487691,0,1
1602491533,0,1
1602493456,1,3
1602495399,2,0
1602497294,1,0
1602499212,1,1
1602501402,0,1
1602503291,1,0
1602505210,1,0
1602507160,1,0
1602509053,0,1
1602510999,1,0
1602512889,1,0
1602515774,2,0
1602519637,1,1
1602523455,1,1
1602525397,0,1
1602531159,1,0
1602533052,0,1
1602534972,3,2
1602536922,0,1
1602538809,0,2
1602542679,1,1
1602544568,5,0
1602546492,1,0
1602548438,2,1
1602552251,1,1
1602556097,0,1
1602558074,1,0
1602559931,1,0
1602561854,1,0
1602567639,0,1
1602569533,1,0
1602571449,1,0
1602573400,1,0
1602577454,2,0
1602579369,1,0
1602581319,0,3
1602583251,1,0
1602585133,0,2
1602587081,1,0
1602588971,1,1
1602590892,0,1
1602592843,0,2
1602594732,2,0
1602596655,0,1
1602598600,1,1
1602602407,1,2
1602606251,0,1
1602608171,0,1
1602613001,1,0
1602614891,2,0
1602618762,0,1
1602634126,1,0
1602645639,1,0
1602647530,2,0
1602651403,1,0
1602659051,0,1
1602660974,1,0
1602664810,2,0
1602668653,1,0
1602670570,1,0
1602676333,1,0
1602680170,2,0
1602684042,1,0
1602691698,1,0
1602693643,1,0
1602695776,2,0
1602697691,1,0
1602699637,1,1
1602701530,1,0
1602707288,0,27
1602709231,1,0
1602716923,4,0
1602720834,1,1
1602729230,1,0
1602731084,2,0
1602732973,3,1
1602734895,0,2
1602738738,1,1
1602740680,1,0
1602742568,0,1
1602746436,0,1
1602748346,1,0
1602750250,0,1
1602756026,2,1
1602757935,0,2
1602761806,0,1
1602765612,1,0
1602767566,0,2
1602769450,0,1
1602777375,0,1
1602779289,2,1
1602781264,1,2
1602783137,0,1
1602785051,0,1
1602787251,1,0
1602789137,1,1
1602791056,1,1
1602793004,0,1
1602794891,0,1
1602798768,2,0
1602802573,0,2
1602804523,0,2
1602808370,0,1
1602816013,0,2
1602817934,1,3
1602819884,2,1
1602823687,0,1
1602825642,1,1
1602827530,1,0
1602832328,1,0
1602834282,0,1
1602838096,1,0
1602843851,1,2
1602847686,1,0
1602851558,0,1
1602853448,1,0
1602857317,1,0
1602859206,3,0
1602861374,1,0
1602865239,0,1
1602867131,0,2
1602870995,2,0
1602872887,1,1
1602875772,0,1
1602877693,0,1
1602879646,2,0
1602881544,1,0
1602883458,0,1
1602885399,0,1
1602887292,2,0
1602889250,4,0
1602893060,1,0
1602902682,1,0
1602904571,1,1
1602906493,1,2
1602908438,1,0
1602910333,1,0
1602912258,2,1
1602914203,0,1
1602918262,1,1
1602925934,0,1
1602929772,0,1
1602931689,1,0
1602933642,0,1
1602935533,1,0
1602937453,1,0
1602939398,0,1
1602945133,1,3
1602947085,2,2
1602950894,1,0
1602952848,2,0
1602954749,1,0
1602956657,0,1
1602958603,0,1
1602960492,1,1
1602964365,1,0
1602966253,3,2
1602968171,0,1
1602970118,1,0
1602973934,0,2
1602975900,0,4
1602977770,1,0
1602979696,1,1
1602981643,2,0
1602985453,1,0
1602987402,1,0
1602989293,1,1
1602991213,0,1
1602993165,2,2
1602995054,1,0
1602996972,0,1
1602998920,0,2
1603004679,2,1
1603012331,1,0
1603014251,1,0
1603018094,1,1
1603020008,2,0
1603021994,0,2
1603025773,1,0
1603031568,0,1
1603033455,0,2
1603035373,1,0
1603037327,1,1
1603039214,1,2
1603041135,1,1
1603046890,0,1
1603050738,1,1
1603052655,0,3
1603054603,2,0
1603056492,2,1
1603062259,1,0
1603064177,1,1
1603066122,1,1
1603068016,0,2
1603071857,1,1
1603073772,1,1
1603075723,1,1
1603077611,2,0
1603079567,1,2
1603081456,0,1
1603083401,1,0
1603089162,1,1
1603091057,0,1
1603094936,1,0
1603096812,1,0
1603098737,1,1
1603100685,0,1
1603102575,2,0
1603104493,0,1
1603106440,1,2
1603108337,1,0
1603110256,1,0
1603112199,1,1
1603114092,1,0
1603122020,0,1
1603123933,1,1
1603125884,0,1
1603127770,1,1
1603133541,2,0
1603137402,1,1
1603142168,1,0
1603144088,0,1
1603147927,0,1
1603149852,0,1
1603151799,2,0
1603159454,1,0
1603161373,1,1
1603167163,1,0
1603169053,1,0
1603172888,1,0
1603184443,2,0
1603186365,2,0
